Order Date,Ship Date,Ship Mode,Customer Name,Segment,Country,City,State,Region,Category,Sub Category,Name ,Sales,Quantity,Discount,Profit,
06/09/2015,06/14/2015,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Office Supplies,Art,Newell 322,7.28,4,0.0,1.9656,
06/09/2015,06/14/2015,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0.0,34.47,
06/12/2017,06/16/2017,Second Class,Darrin Van Huff,Corporate,United States,Los Angeles,California,West,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0.0,6.8714,
10/11/2016,10/18/2016,Standard Class,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,South,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164,
06/09/2015,06/14/2015,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825,
12/05/2017,12/10/2017,Standard Class,Irene Maddox,Consumer,United States,Seattle,Washington,West,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922,
05/13/2015,05/15/2015,Second Class,Alejandro Grove,Consumer,United States,West Jordan,Utah,West,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0.0,9.99,
11/22/2016,11/26/2016,Standard Class,Harold Pawlan,Home Office,United States,Fort Worth,Texas,Central,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858,
12/09/2017,12/13/2017,Standard Class,Ken Black,Corporate,United States,Fremont,Nebraska,Central,Office Supplies,Art,Newell 318,19.46,7,0.0,5.0596,
11/11/2015,11/18/2015,Standard Class,Pete Kriz,Consumer,United States,Madison,Wisconsin,Central,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0.0,13.3176,
09/17/2016,09/21/2016,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Art,Lumber Crayons,15.76,2,0.2,3.546,
09/17/2016,09/21/2016,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092,
10/19/2018,10/23/2018,Second Class,Matt Abelman,Home Office,United States,Houston,Texas,Central,Office Supplies,Paper,Easy-staple paper,29.472,3,0.2,9.9468,
12/27/2016,12/31/2016,Standard Class,Steve Nguyen,Home Office,United States,Houston,Texas,Central,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415,
09/19/2018,09/23/2018,Standard Class,Erin Smith,Corporate,United States,Melbourne,Florida,South,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.5616,
12/11/2017,12/17/2017,Standard Class,Janet Molinari,Corporate,United States,New York City,New York,East,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,0.0,6.2566,
06/17/2017,06/18/2017,First Class,Ted Butterfield,Consumer,United States,Troy,New York,East,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0.0,0.84,
